product_id,district_id1,district_id2,district_id3,district_id4,lat,lon,railway,airport,citycenter,railway2,airport2,citycenter2,eval,eval2,eval3,eval4,voters,startdate,upgradedate,cooperatedate,maxstock
1,10201,20502,31003,45760,3.9949275970458986,11.634629821777343,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,5,2.0,3.1,1034.0,2005-11-01,2015-01-01,2013-07-02,75.0
2,10201,20502,31003,45760,3.995148468017578,11.636257934570313,-1.0,-1.0,2.3,-1.0,-1.0,-1.0,3.0,4,2.0,3.4,1707.0,2005-02-28,2011-01-01,2014-12-16,172.0
3,10201,20502,31003,45760,3.9942905426025392,11.631246185302734,-1.0,-1.0,10.3,-1.0,-1.0,-1.0,3.0,4,2.5,3.6,1739.0,2007-03-01,2014-01-01,2014-07-02,188.0
4,10201,20502,31003,55952,3.997782897949219,11.641561126708984,-1.0,-1.0,9.3,-1.0,-1.0,-1.0,3.0,4,2.5,3.5,1065.0,2006-07-01,1753-01-01,2014-12-19,116.0
5,10201,20502,31003,55952,3.999904251098633,11.641149139404297,12.1,25.2,13.3,3.4,3.5,3.6,3.0,5,2.0,3.4,2209.0,2007-01-01,2012-03-01,2007-11-07,95.0
6,10201,20502,31003,55952,3.999533843994141,11.642633056640625,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,7,2.0,3.5,1788.0,2007-11-01,-1,2015-04-28,150.0
7,10201,20502,31003,55952,3.99835319519043,11.641246795654297,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,7,2.0,3.6,1472.0,2007-08-01,1753-01-01,2011-11-23,130.0
8,10201,20502,31003,55952,4.003753280639648,11.641792297363281,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,6,2.0,3.3,1796.0,2008-09-01,1753-01-01,2014-03-07,88.0
9,10201,20502,31003,55952,4.000439834594727,11.636934661865235,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,7,2.0,3.4,1304.0,2008-07-01,1753-01-01,2015-04-28,128.0
10,10201,20502,31003,55952,4.000184631347656,11.642193603515626,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,4,2.0,3.4,2356.0,2008-08-01,1753-01-01,2014-04-25,210.0
11,10201,20502,31003,55952,4.000872039794922,11.640840911865235,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,4,2.0,3.4,927.0,2008-01-01,1753-01-01,2014-12-16,154.0
12,10201,20502,31003,45760,3.9952564239501953,11.633551025390625,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,4,2.0,3.3,3429.0,2009-01-01,-1,2014-08-15,161.0
13,10201,20502,31003,55952,3.998342514038086,11.640956115722656,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,4,2.0,3.4,1264.0,2009-07-01,1753-01-01,2014-05-23,204.0
14,10201,20502,31003,45760,3.9947765350341795,11.633038330078126,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,5,2.5,3.3,2406.0,1980-01-01,2008-02-01,2015-03-02,165.0
15,10201,20502,31003,45760,3.9954029083251954,11.636612701416016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,4,2.5,3.6,1417.0,2008-11-01,2015-01-01,2014-07-02,138.0
16,10201,20502,31003,45760,3.993794250488281,11.627684783935546,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,5,2.0,3.4,482.0,2005-09-01,2012-12-01,2014-07-21,43.0
17,10201,20502,31003,55952,3.99771728515625,11.637075042724609,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,4,2.5,3.6,919.0,2008-08-01,1753-01-01,2014-12-16,169.0
18,10201,20502,31003,133952,3.9909740447998048,11.65502700805664,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,5,2.0,3.3,1533.0,1987-01-01,2012-01-01,2014-11-24,256.0
19,10201,20502,31003,55952,4.00055046081543,11.63680191040039,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,4,2.0,3.3,1032.0,2010-03-01,-1,2010-05-07,103.0
20,10201,20502,31003,55952,3.9998447418212892,11.641244506835937,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,5,2.0,3.4,557.0,2010-05-01,-1,2015-03-03,73.0
21,10201,20502,31003,55952,3.999874496459961,11.643074798583985,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,4,2.5,3.6,881.0,2010-05-01,1753-01-01,2014-07-01,92.0
22,10201,20502,31003,45760,3.993992233276367,11.634620666503906,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,5,2.0,3.4,728.0,2005-01-01,2011-03-01,2015-06-12,132.0
23,10201,20502,31003,45760,3.9953563690185545,11.633200073242188,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,4,2.0,2.9,639.0,2005-10-01,-1,2013-06-20,92.0
24,10201,20502,31003,55952,3.9983745574951173,11.637715148925782,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,2,0.5,3.0,460.0,2010-10-01,1753-01-01,2016-03-30,83.0
25,10201,20502,31003,45760,3.993406295776367,11.637133026123047,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,4,2.5,3.6,1793.0,2010-09-29,-1,2015-02-13,145.0
26,10201,20502,31003,45760,3.993524169921875,11.637252044677734,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,5,2.0,3.2,1109.0,2008-08-01,-1,2015-06-18,75.0
27,10201,20502,31003,55952,4.000029373168945,11.6414306640625,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,7,2.0,3.6,1711.0,2010-09-01,2015-03-01,2014-05-19,103.0
28,10201,20502,31003,45760,3.994630813598633,11.630435943603516,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,4,2.0,3.3,871.0,2009-09-01,2012-08-01,2015-02-13,48.0
29,10201,20502,31003,133952,3.9904861450195312,11.657698822021484,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,5,2.0,2.5,583.0,2005-10-01,2008-01-01,2014-08-01,66.0
30,10201,20502,31003,133952,3.9913562774658202,11.655093383789062,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,5,2.0,2.6,670.0,2005-10-01,2009-11-01,2010-01-05,78.0
31,10201,20502,31003,55952,3.999858093261719,11.640278625488282,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,5,2.0,3.3,1010.0,2008-08-01,-1,2015-02-13,55.0
32,10201,20502,31003,133952,3.992321014404297,11.656002044677734,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,4,2.0,3.6,1058.0,2010-11-01,2014-01-01,2010-11-26,122.0
33,10201,20502,31003,45760,3.9936138153076173,11.630240631103515,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,4,2.0,3.4,1696.0,2010-12-01,1753-01-01,2015-04-07,116.0
34,10201,20502,31003,45760,3.995674896240234,11.631684875488281,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,7,2.0,3.4,1608.0,2010-12-01,-1,2011-11-23,92.0
35,10201,20502,31003,45760,3.9944503784179686,11.635106658935547,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,5,2.5,3.7,1866.0,2010-01-01,2014-03-01,2011-11-17,110.0
36,10201,20502,31003,45760,3.9940444946289064,11.634578704833984,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,5,2.0,3.4,1153.0,2011-01-01,-1,2013-05-02,72.0
37,10201,20502,31003,133952,3.9910919189453127,11.658122253417968,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,7,2.0,3.7,858.0,2011-01-01,2016-07-01,2015-04-28,97.0
38,10201,21318,64993,-1,3.4802608489990234,11.43056640625,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,4,2.0,3.4,560.0,2011-04-11,-1,2014-12-19,147.0
